Strata,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
All: LAG 5,-0.004404298,0.005576783,0.995605387,0.984782187,1.006548,-0.004329727,0.048223591,0.999567121,0.990163897,1.009060,-0.000924265,0.000665359,0.988239113,0.971879814,1.004874,-0.00080264,0.000698167,0.994796426,0.985987293,1.003684
Female,-0.003658063,0.007498915,0.99634862,0.981811508,1.011101,0.000247733,0.06487044,1.000024774,0.987390344,1.012821,-0.001349588,0.000894415,0.982873624,0.961064449,1.005178,-0.000546831,0.000939855,0.99645191,0.984591786,1.008455
Male,-0.0052702,0.007787976,0.994743663,0.979674767,1.010044,-0.009596621,0.067310119,0.999040798,0.98594723,1.012308,-0.00045007,0.000929551,0.994255661,0.97133731,1.017715,-0.001092296,0.00097387,0.992925218,0.980681997,1.005321
Warm All,-0.00162523,0.005170261,0.99837609,0.988309925,1.008545,0.0961339,0.05858586,1.009659747,0.998132308,1.021320,-0.00195621,0.000615027,0.975271395,0.96033866,0.990436,-0.000164862,0.000720965,0.998928969,0.989795723,1.008146
Warm Female,-0.004912585,0.006913563,0.995099462,0.981706232,1.008675,0.07777736,0.0785805,1.007808061,0.992404947,1.023450,-0.002076757,0.000821858,0.973767717,0.953895404,0.994054,-0.000641943,0.000964781,0.995836061,0.983670845,1.008152
Warm Male,0.002063994,0.007350033,1.002066126,0.98773378,1.016606,0.11709562,0.08304566,1.011778387,0.995443027,1.028382,-0.001815034,0.000876275,0.977035355,0.955790598,0.998752,0.00036973,0.001024047,1.002406135,0.989413324,1.015570
Cold All,-0.009496899,0.006149637,0.990548054,0.978680359,1.002560,-0.05641288,0.04202799,0.994374594,0.986217092,1.002600,0.000590676,0.000747143,1.007589303,0.988878623,1.026654,-0.001398096,0.000679151,0.990953543,0.98241642,0.999565
Cold Female,-0.004044157,0.00830853,0.99596401,0.979876363,1.012316,-0.04511053,0.05671023,0.995499107,0.984495198,1.006626,-1.19106E-05,0.001010809,0.999847556,0.97481104,1.025527,-0.000476158,0.000918868,0.99690976,0.985307599,1.008649
Cold Male,-0.015629097,0.008426038,0.984492404,0.968367,1.000886,-0.06911694,0.05766717,0.993112137,0.981950421,1.004401,0.001254412,0.001021873,1.016186071,0.990465468,1.042575,-0.002425632,0.000929063,0.984357036,0.972774615,0.996077
Age 0-10 All,0.05049596,0.03262529,1.051792614,0.986640433,1.121247,-0.001800589,0.269836477,0.999819957,0.948315517,1.054122,0.001300349,0.003899203,1.016783758,0.922028875,1.121276,0.0089123,0.004030734,1.059640765,1.006600084,1.115476
Age 0-10 Female,0.03765192,0.04179469,1.038369734,0.956699755,1.127012,0.2090122,0.3498138,1.02112118,0.953455729,1.093589,0.001432277,0.004908948,1.018502229,0.900484307,1.151988,0.011277585,0.005131963,1.076057934,1.007954565,1.148763
Age 0-10 Male,0.06304443,0.04141801,1.065074159,0.982028578,1.155143,-0.1912505,0.3393218,0.981056673,0.917931855,1.048522,0.001248342,0.005021007,1.016107121,0.895844665,1.152514,0.006759984,0.005153081,1.044919549,0.978523618,1.115821
